_label_job_title	Software Developer APIs (m/w/d)
_label_potential_skill_phrase	Ein abgeschlossenes Fachhochschul- / Bachelorstudium, vorzugsweise in der Fachrichtung Informatik, Wirtschaftsinformatik oder eines vergleichbaren einschlägigen Studiengangs oder
_label_potential_skill_phrase	As Software Development Engineer (f/m/d) you are a key member of the team in Stuttgart who delivers world class brand apps, services, technologies creating emotions and value to end-users, and continuously improves deliveries based on usage and user feedback.
_label_potential_skill_phrase	DAS BRINGEN SIE MIT.
_label_potential_skill_phrase	Sie sind mitverantwortlich für den gesamten Software-Entwicklungs­pro­zess von der Anforderungsspezifikation über Implementation, Dokumentation und Test bis zum Support und Debugging.
_label_paragraph_separator	Software Engineer (m/w/d) für Service-Applikationen / Data Business
_label_potential_skill_phrase	Sie unterstützen das Produkt- und Programmmanagement bei der Erstellung der Roadmaps für Hardware, Software und digitalen Diensten.
_label_potential_skill_phrase	Fähigkeiten zum abstrakten Denken
_label_paragraph_separator	Agaplesion Management- und Beratungsgesellschaft mbH
_label_potential_skill_phrase	Netzwerkbereich: Planung, Beratung, Projektarbeit im Bereich IP-Routing (OSPF, BGP, IS-IS)
_label_potential_skill_phrase	Moderationsfähigkeit und Kommunikationsstärke sowie eigenverantwortliches Arbeiten
_label_potential_skill_phrase	Analyse, Behebung und Support bei auftretenden Störungen
_label_paragraph_separator	Unsere Performance für Dich
_label_potential_skill_phrase	Erstellung und Erweiterung der Betriebsdokumentation
_label_potential_skill_phrase	Vertriebstätigkeit- Du wirst aktiv in die Vertriebstätigkeiten eingebunden und wirkst bei der Erstellung von Angeboten und Ausschreibungsunterlagen mit.
_label_potential_skill_phrase	Vermitteln zwischen Business und Technik, finden von Lösungsdesigns
_label_potential_skill_phrase	Abgeschlossenes technisches Studium der Fachrichtung Informatik, Informationstechnik, Elektrotechnik, Mechatronik, Mikrosystemtechnik, Medizintechnik, Physik, Physikalische Technik oder eine vergleichbare Qualifikation mit entsprechender Praxis
_label_do_not_consider	Homepage
_label_potential_skill_phrase	Begeisterung für Software, neue Technologien und ein gutes Gespür für UI/UX
_label_potential_skill_phrase	Idealerweise haben Sie Erfahrung mit Tools wie Make, Git, Gerrit, Artifactory oder Docker Containern
_label_do_not_consider	Stichwort:210317 Client Management(m/w/d)(Bitte stets im Betreff angeben)
_label_potential_skill_phrase	Sehr gutes Kommunikationsverhalten, sicheres Auftreten, hohe Stressresistenz, Organisationskompetenz, strukturierte Arbeitsweise
_label_potential_skill_phrase	Diese Aufgaben überzeugen Dich
_label_do_not_consider	Wir bieten Ihnen modernste Werkzeuge und Infrastruktur in unseren Entwicklungslaboren.
_label_paragraph_separator	Anwendungsentwickler (m/w/d) Java
_label_do_not_consider	Ein ausgezeichnetes Betriebsklima
_label_do_not_consider	Wir suchen für unsere Softwareentwicklung in Hamburg zum nächstmöglichen Zeitpunkt einen
_label_potential_skill_phrase	Proaktive Planung und Umsetzung abwechslungsreicher Change Projekte
_label_do_not_consider	Systemadministrator (w/m/d) Exchange Administration
_label_do_not_consider	Folgende Punkte sind für dich wichtig
_label_potential_skill_phrase	Sicherstellung der Erreichung aller Projektmeilensteinen inkl. aktivem Fehler- und Reifegradmanagement
_label_do_not_consider	persönlicher Freiraum für Ihre Ideen
_label_do_not_consider	SP 2021-035 mit Ihrer vertraglichen Kündigungsfrist undIhrer Verdienstvorstellung an die Personalabteilung,Frau Liza Holland, E-Mail:Bewerbung@putzmeister.com
_label_paragraph_separator	Digitale Markenführung mit Content-Perspektive, Social Media und Online-Marketing – das sind die Themen, bei denen wir gemeinsam mit unseren Kunden raketenmäßig durchstarten. Unser Kunden-Kosmos: Marken und Marktführer aus den Bereichen Food & Beverage, Energie oder Politik, für die wir integrierte Kommunikationslösungen entwickeln – von innovativen Strategien über digitale Kampagnen bis hin zur attraktiven Social-Media-Präsenz. Mit viel Leidenschaft und in einem hochmotivierten Team.
_label_job_title	Abteilungsleiter*in (m/w/d) Digital & Online / Referent*in (m/w/d) für Digitale Kommunikationsstrategien
_label_paragraph_separator	NETZWERKADMINISTRATOR, INFRASTRUKTUR, CLOUD, FIREWALL, SWITCH, STORAGE, LINUX, FORTINET, NETAPP, SYSTEM ENGINEER, RECHENZENTRUM
_label_job_title	Projektingenieur Production IT-Systems (w/m/d)
_label_potential_skill_phrase	Technische Analyse und Aussteuerung von Cyber-Risiken und -Angriffen und Untersuchung von Schadsoftware
_label_do_not_consider	Moderner und ergonomisch gestalteter Arbeitsplatz
_label_potential_skill_phrase	You are coordinating the smooth interaction of multiple components within the complex system. You ensure the link between product management and customers to discuss customer specification.
_label_potential_skill_phrase	Sie verfügen über ein erfolgreich abgeschlossenes Studium in einer der Fachrichtungen Wirtschaftsinformatik, Informatik oder eine vergleichbare Qualifikation
_label_paragraph_separator	Business Analyst (w/m/d) Data Warehouse
_label_potential_skill_phrase	Anpassung der WaWi-Software an individuelle Kundenwünsche
_label_potential_skill_phrase	(Junior) Consultant (w/m/d) im Bereich Audit / Wirtschaftsprüfung wirst Du bei uns mit einem guten Studienabschluss der Wirtschaftswissenschaften, des Wirtschaftsingenieurwesens, Wirtschaftsinformatik, Wirtschaftsmathematik, Informatik, Naturwissenschaften oder Rechtswissenschaften.
_label_potential_skill_phrase	DAS ERWARTET SIE BEI UNS
_label_potential_skill_phrase	Übernahme einer Klassenleitung
_label_potential_skill_phrase	Hardwarenahe Softwareentwicklung im Bereich des dSPACE FPGA Programming Blocksets für MATLAB ® /Simulink®
_label_potential_skill_phrase	Kontinuierliches Weiterentwickeln und Optimieren der internen Netzwerk- und Serversysteme sowie Sicherstellen eines reibungslosen IT-Betriebes
_label_potential_skill_phrase	Idealerweise bringen Sie Berufspraxis im Umfeld von Versicherungen oder Finanzdienstleistungen sowie relevante Projekterfahrung im Bereich manuelle und automatische Tests von Client-Server-Lösungen mit.
_label_potential_skill_phrase	dieallgemeine Hochschul- oder Fachhochschulreife
_label_do_not_consider	Unsere Benefits
_label_do_not_consider	Work your way - Gestalten Sie Ihre Welt mit Flexibilität, damit Sie eine gesunde Balance zwischen Arbeit und Privatleben genießen können
_label_potential_skill_phrase	Informiere alle Stakeholder regelmäßig und zielgruppengerecht über Neuerungen und Verbesserungen.
_label_potential_skill_phrase	Unterstützung der Sachgebietsleitung
_label_potential_skill_phrase	Nicht zuletzt ist Ihr gesprochenes und geschriebenes Deutsch einwandfrei (Level C1).
_label_potential_skill_phrase	req5100
_label_do_not_consider	Wer die Mobilität der Zukunft revolutionieren will, muss schon heute Maßstäbe setzen. Spezialisten aus den Bereichen Machine Learning, Künstliche Intelligenz, Sensortechnologie und Softwareentwicklung finden bei uns die besten Voraussetzungen dafür. Als visionäre Denker und kreative Entwickler genießen diese bei der BMW Group persönliche Forschungsfreiheit und profitieren gleichzeitig von umfangreicher Unterstützung. Die neu entwickelten Algorithmen werden dabei direkt am Fahrzeug getestet. Gemeinsam in Expertenteams und weltweit über Kompetenzzentren vernetzt, können Spezialisten für autonomes Fahren bei uns die Grenzen des Möglichen neu definieren.
_label_potential_skill_phrase	Unter Anwendung moderner Softwareentwicklungssprachen führen Sie die Entwicklung neuer Komponenten/Module aus und übernehmen die Betreuung bestehender Komponenten, z.B. in den Bereichen Industrial Communication oder Product Security
_label_do_not_consider	Zur weiteren Verstärkung unseres Teams an den Standorten Schöneck/Vogtland, Jena, Köln, St. Ingbert, Berlin, Hamburg und Home Office suchen wir ab sofort einen:
_label_job_title	IT-Testmanager / Softwaretester (m/w/d)
_label_potential_skill_phrase	Sie verfügen über ausgeprägte Analyse- und Designfähigkeiten
_label_potential_skill_phrase	Aktive Mitarbeit bei der Ein­führung des neuen ERP-Systems inner­halb der SKF GmbH (QMPS / Infor XA / SAP)
_label_potential_skill_phrase	Fähigkeit, die Lösungssuche in einer komplexen IT Organisation mit Drittanbietern technisch zu führen und Entscheidungen zu bewirken
_label_job_title	PCB Designer 50% (m/w)
_label_do_not_consider	Wir legen Wert darauf, dass sich dein Einstieg bei uns lohnt! Daher profitierst du bei uns nicht nur von einem übertariflichen Gehalt und den Sozialleistungen eines Großunternehmens: Ein persönlicher Pate macht dich vom ersten Tag an mit deinem Job vertraut und ist dein Ansprechpartner für alle Fragen rund um das Unternehmen. So findest du dich schnell bei uns zurecht – und kannst von Beginn an das kollegiale Miteinander und die individuellen Weiterbildungsmöglichkeiten für dich entdecken.
_label_potential_skill_phrase	Selbstständiges Lösen von technischen Problemstellungen im Rahmen der Projektarbeit und Unterstützung und Beratung von Projektmitarbeitern
_label_paragraph_separator	Lead IT Project Manager (m/w/d)
_label_potential_skill_phrase	Deine Rolle:
_label_potential_skill_phrase	Idealerweise Kenntnisse im Bereich Flutter
_label_job_title	Senior Supply Chain Manager (m/w/d)
_label_do_not_consider	Die Arbeit mit einem hochwertigen, begeisternden und vielfältigen Handelsprodukt
_label_do_not_consider	(A 12 LBesG NRW bzw. EG 13 TVöD; Kenn-Nr. 156/21)
_label_do_not_consider	Lass Deiner Kreativität freien Lauf und sei Teil eines internationalen und wachstumsstarken Unternehmens! Bei uns hast Du die Gelegenheit Dich täglich neuen Herausforderungen zu stellen & mit uns gemeinsam innovative Ideen umzusetzen. Neben einer leistungsgerechten Bezahlung bieten wir Dir ein sehr flexibles Arbeitszeitmodell, hochwertige Arbeitsmaterialien für Deinen Büroalltag und eine strukturierte Einarbeitung an der Hand erfahrener Mitarbeiter.
_label_do_not_consider	Consultant (m/w/d) HR Success FactorsVaillant Group Business Services GmbH | Remscheid | Deutschland
_label_do_not_consider	Mehr Informationen finden Sie hier:www.chemicals.oq.com/karriere
_label_potential_skill_phrase	Idealerweise Erfahrungen mit SAP und Azure
_label_do_not_consider	Marktstr. 1-370173 Stuttgarthttps://www.e-breuninger.de/de/karriere/
_label_paragraph_separator	Samuelson Kassensysteme GmbH
_label_paragraph_separator	Project Manager SAP (m/w/d)
_label_do_not_consider	das sind fast 5.000 Menschen in rund 900 Filialen bundesweit sowie in unserer Dienstleistungszentrale im mittelfränkischen Schwabach. Jeden Tag aufs Neue arbeiten wir für ein gemeinsames Ziel: unsere Kunden zu überraschen und zu begeistern. Mit der GrandVision-Gruppe, einem der weltgrößten Optikkonzerne, im Rücken werden wir weiterhin gesund wachsen. Dabei bauen wir auf Menschen, denen Fairness, Fachkenntnis und Verlässlichkeit ebenso wichtig sind wie uns.
_label_do_not_consider	Betriebsrestaurants
_label_job_title	Software Entwickler (w/m/d) mit versierten Mathe-Skills für die Finanz Industrie
_label_do_not_consider	VAMED Deutschland| Personalabteilung |+49 30 2462 690|bewerbung.de@vamed.com|www.vamed.com
_label_potential_skill_phrase	Sicherstellung der Erreichung der Projektziele innerhalb gesetzter Rahmenbedingungen (Zeit, Budget und Qualität)
_label_potential_skill_phrase	Agile Entwicklung in kurzen Iterationszyklen unter Verwendung von Continuous Integration, Code-Reviews und End-to-End-Tests
_label_potential_skill_phrase	Erfahrung in der Leitung von Entwickler-Projektteams
_label_potential_skill_phrase	Eigenständige Konzeption, Durchführung und Dokumentation von Penetrationstests, überwiegend im Automotive- und IoT-Umfeld
_label_potential_skill_phrase	Gute Kenntnisse von C++ 11/14/17, Qt und der zugehörigen Entwicklungswerkzeuge
_label_potential_skill_phrase	Integration dieser Software in die vorhandene IT-Landschaft
_label_potential_skill_phrase	Unterstützung bei der Entwicklung neuer Lösungen für den Modern Workplace auf Basis von modernen Cloudservices
_label_potential_skill_phrase	Durchführung von Analyse, Konzeption, Programmierung, Test und Einführung von Softwaresystemen im Java- /JEE-/ Spring-Umfeld
_label_do_not_consider	SPS-Programmierer Automatisierungstechnik (m/w/d)
_label_do_not_consider	Windhoff Group
_label_do_not_consider	Die AGAPLESION gemeinnützige Aktiengesellschaft mit Sitz in Frankfurt am Main wurde 2002 gegründet, um vorwiegend christliche Gesundheitseinrichtungen in einer anspruchsvollen Wirtschafts- und Wettbewerbssituation zu stärken. Zu AGAPLESION gehören bundesweit über 100 Einrichtungen. Mehr als 19.000 Mitarbeitende versorgen jährlich über eine Million Patienten.
_label_potential_skill_phrase	Ihr breites Aufgabenspektrum reicht von der Auftrags­klärung bis zur Go-Live-Begleitung im Rahmen von internationalen Rollouts.
_label_potential_skill_phrase	Ausbildung:Ein Studium oder eine Ausbildung mit IT-Bezug (z. B. Fachinformatiker/-in, Informatikkaufmann/-kauffrau, Wirtschaftsinformatik, etc.)
_label_potential_skill_phrase	Bereitschaft zur im Beratungsumfeld erforderlichen intensiveren Reisetätigkeit
_label_potential_skill_phrase	Die daraus resultierenden Ergebnisse analysieren und interpretieren Sie. Ihr umfassendes technisches Verständnis hilft Ihnen, Zusammenhänge zu erkennen und Synergien zu anderen Verfahren herzustellen.
_label_do_not_consider	HAM-LOG-GRUPPE Holding GmbHMarco Kühnapfel+49 40 444 055 60Mittelweg 110b20149 Hamburgmkuehnapfel@ham-log-gruppe.comhttp://ham-log-gruppe.com/
_label_potential_skill_phrase	Kenntnisse von Softwareverteilung mit Baramundi von Vorteil
_label_do_not_consider	50Hertz ist einer der vier Strom-Übertragungsnetzbetreiber in Deutschland. Zusammen mit dem belgischen Stromnetzbetreiber Elia (Brüssel) bilden wir die international tätige Elia Group. Die gut 1200 Mitarbeiter und Mitarbeiterinnen des Unternehmens tragen Verantwortung für die Stromversorgung von rund 18 Millionen Menschen. Wir fördern die Integration erneuerbarer Energien, planen das Stromnetz der Zukunft und ermöglichen eine erfolgreiche Energiewende – für eine nachhaltige Welt. Am Standort Neuenhagen (bei Berlin), nach der Einarbeitung auch im Netzquartier am Hauptbahnhof oder flexibel per mobiler Arbeit, bieten wir Dir ab dem01.05.2021die oben genannte Position.
_label_do_not_consider	Neue Technologien, herausfordernde und abwechslungsreiche Aufgaben
_label_do_not_consider	ab sofort und in Vollzeit in Bonn oder München.
_label_potential_skill_phrase	Entwicklung von APIs bzw. Connectoren für unsere Plattform und den Systemen des Kunden bzw. unserer Partner Provider
_label_potential_skill_phrase	Kundenorientierung und Kommunikationsstärke, auch in englischer Sprache
_label_paragraph_separator	Asklepios Service Einkauf und Versorgung GmbH
_label_potential_skill_phrase	von SAP-Anwendungsarchitekturen sowie von SAP Hybrid-Cloud Architekturen (SCP und HEC).
_label_do_not_consider	Du wirst mit moderner Technik ausgestattet, z .B. Notebook.
_label_potential_skill_phrase	Begleitung von Partnerschaften mit Bankenverbänden, Start-ups und führenden Software Providern
_label_potential_skill_phrase	Mehrere (5+) Jahre praktische Erfahrung als (zertifizierte*r) Product Owner*in im Kontext der Softwareentwicklung können Sie vorweisen.
_label_do_not_consider	Fachinformatiker, Informatiker als IT Consultant (m/w/d) - Transition und Modernisierung von IT-Umgebungen
_label_potential_skill_phrase	Ihre vielfältige Tätigkeit wird abgerundet durch das Durchführen von internen Informationssicherheits-Audits (Prozess- und IT-Systemaudits, Berechtigungsprüfungen, etc.)
_label_paragraph_separator	(Senior) Software Engineer (C++/Python) für High-Performance Simulation (w/m/d)
_label_potential_skill_phrase	Experience in unit testing and CI/CD
_label_paragraph_separator	Developer RPA / Automatisierung (m/w/d)
_label_potential_skill_phrase	Arbeit an übergreifenden Last- und Performancetests, auf einer verteilten Microservicearchitektur basierend auf Springboot, NodeJS, Kubernetes und Gitlab
_label_paragraph_separator	Devops Engineer (m/w/d) IT Infrastruktur
_label_do_not_consider	The Elia Group encompasses two major transmission system operators (TSOs) in two European regions: Elia Transmission in Belgium and 50Hertz Transmission, one of the four German TSOs in north-east Germany. Both responsible for the high voltage electric grids in their regions. The volatility of renewable energies is constantly increasing the need for coordination among the grid operators, both nationally and internationally. Therefore, 50Hertz is working hard on innovative formats and tools for this exchange and is looking for a candidate to reinforce our team in this challenging and exciting domain as soon as possible to take the role of IT Integration Project Lead.
_label_potential_skill_phrase	Sie verfügen über Erfahrung in der Projektleitung von Kundenprojekten unter Anwendung von agilen Projektmanagement- und Softwareentwicklungsmethoden, die bestenfalls durch eine PMP/PMI, GPMA oder Prince2 Zertifizierung abgerundet wird bzw. sind dazu bereit eine entsprechende Projektmanagementzertifizierung im Rahmen der Einarbeitung durchzuführen
_label_potential_skill_phrase	Konzeption und Beschreibung von Ausgabe-Prozessen in einem Multi-Channel Output-Management-System
_label_do_not_consider	Softwareingenieur (m/w/d)
_label_paragraph_separator	IT Infrastructure Consultant (m/w/d) Manufacturing
_label_potential_skill_phrase	Kommunikation mit Herstellern der Einzelkomponenten
_label_potential_skill_phrase	Innerhalb der gesamten Wertschöpfungskette von AFC stellt der Bereich AFC-Modelling (AFC M) ein Herzstück dar, denn auf Basis eines risiko-basierten Management Ansatzes entstehen hier die Modelle, mit denen die oben genannten Ziele und Erwartungen in konkrete Kontrollen und Analysen umgesetzt werden. Geographisch erstreckt sich der Verantwortungsbereich des Bereiches auf Deutschland, Europa und Asien und deckt somit eine Vielzahl der Länder ab, in denen die Deutsche Bank aktiv ist.
_label_do_not_consider	Mit verschiedenen, u.a. H-O-T-patentierten Ver­edelungs­prozessen werden Ober­flächen gezielt ver­bessert und die Leistungs­fähigkeit von stark bean­spruchten Präzisions­teilen erhöht sowie deren Lebens­dauer deutlich ver­längert.
_label_potential_skill_phrase	Sie können auf fundierte Erfahrung im Softwareentwicklungsumfeld, Projektmanagement und Prozessmanagement in einer Produktionsumgebung zurückgreifen
_label_do_not_consider	Wöchentliche Vitamine für alle Mitarbeiter (frisches Obst)
_label_potential_skill_phrase	Idealerweise Verständnis über IT Systeme und deren Anwendung (Programmierkenntnisse von Vorteil)
_label_paragraph_separator	wh Münzprüfer Berlin GmbH
_label_do_not_consider	Wir sind heute [movers] und morgen [shapers].Als [movers] sind wir strategische und überzeugende Vordenker*innen in einer der führenden europäischen Management- und Technologieberatung. Wir unterstützen unsere Kunden, treiben Ideen voran und inspirieren. Als [shapers] formen wir konkrete Lösungen und gestalten Prozesse. Wir nutzen innovative Technologien und eröffnen so neue Wege. So ist jede*r von uns stets beides: [mover & shaper]. Gemeinsam sind wir weltweit 46.000 [movers & shapers] - und uns alle eint das Ziel, mithilfe digitaler Technologien die Zukunft für unsere Kunden erfolgreich zu gestalten.Wir unterstützen unsere Kunden im nationalen und internationalen Segment aus den unterschiedlichsten Sicherheitssektoren- wie Polizei, Feuerwehr und Justiz- sowie Sicherheitsbehörden. Unser Fokus liegt dabei auf Einsatzleitsystemen, Fahndungs- und Vorgangsbearbeitungssystemen.Bist Du auch ein [mover & shaper]? Dann suchen wir Dich unbefristet als:
_label_do_not_consider	Work-Life-Balance durch Vertrauensarbeitszeit, flexible Arbeitszeiteinteilung, Home-Office-Möglichkeiten sowie Freizeitausgleich
_label_potential_skill_phrase	Du nimmst die Anforderungen von Kunden auf und entwickelst daraus selbstständig Lösungsansätze
_label_potential_skill_phrase	Mehrjährige IT Berufserfahrung in Logistik- oder Gewerbezentren
_label_potential_skill_phrase	Unser Ziel: Automatisierung und Digitalisierung unserer Unternehmensprozesse im Rahmen unseres Top-Projekts „MDM@Lidl EK“
_label_potential_skill_phrase	Knowledge in product development lifecycle and software development processes (e.g., IATF16949, A-SPICE, CMMI).
_label_do_not_consider	Gruppenleiter (m/w/d) Embedded Softwareentwicklung(Stellen-ID: 1219 )
_label_do_not_consider	Möchtest Du den ersten Karriereschritt machen und Teil unseres hochqualifizierten Teams sein? Dann unterstütze unsere Kunden als geschätzer Ansprechpartner aus der Ferne bei der optimalen Nutzung komplexer SAP-Anwendungen!
_label_potential_skill_phrase	Betreuung der Netzwerk-, Backup-, Security- und Virtualisierungs-Lösungen (u.a. VMware/ESXi)
_label_do_not_consider	Sie schauen über den Tellerrand Ihres Codes hinaus und verfügen über Erfahrung in datengetriebener Analyse anhand von statistischen Methoden.
_label_potential_skill_phrase	Darüber hinaus bist Du für das Konzipieren technischer Lösungen in spannenden Projekten u. a. auch im Sicherheitsumfeld verantwortlich
_label_paragraph_separator	SAP Senior Berater MM / LOG mit Entwicklungsskills (m/w/d)
_label_potential_skill_phrase	Sie verfügen über eine erfolgreich abgeschlossene Ausbildung mit entsprechender Berufserfahrung im IT bzw. SAP Umfeld oder haben ein Studium der Wirtschaftsinformatik, Betriebswirtschaft, Ingenieurwesen erfolgreich abgeschlossen
_label_potential_skill_phrase	ITIL-Basiswissen, DevOps und SCRUM sind für dich keine Fremdwörter und du hast zudem Erfahrungen in der praktischen Umsetzung.
_label_potential_skill_phrase	Sie validieren Wege und Tarife in Verkehrsnetzen und Fahrplanangeboten mit wissensbasierten Systemen.
_label_potential_skill_phrase	Entwicklung von SW-Architektur und SW-Design, Integrieren von SW-Modulen und Betrieb der Software in einer Testumgebung in enger Zusammenarbeit mit Entwicklerteams anderer Standorte
_label_potential_skill_phrase	Weiterentwicklung der Systemarchitektur
_label_paragraph_separator	IT Senior Projektmanager (m/w/d) Service Management
_label_do_not_consider	Was du dir vorstellst
_label_do_not_consider	Teamaktivitäten und Sportangebote
_label_do_not_consider	Fragen zu fachlichen Themen: Michael Markert,+49 911 179-8917
_label_potential_skill_phrase	Exzellente analytische und konzeptionelle Fähigkeiten
_label_do_not_consider	Unsere Kultur
_label_paragraph_separator	Beständig auf Zukunftskurs
_label_potential_skill_phrase	Durchführung technischer Reviews und Audits in großen oder komplexen Projekten
_label_paragraph_separator	Gebäudemanagement Schleswig-Holstein AöR (GMSH)
_label_potential_skill_phrase	Dein Studium im Bereich Informatik hast Du erfolgreich abgeschlossen oder Du verfügst über einen vergleichbaren technischen Abschluss
_label_do_not_consider	Dann freuen wir uns auf Deine Bewerbung (Anschreiben, Lebenslauf und Zeugnisse) mit Angabe Deines frühest­möglichen Eintrittstermins ankarriere@allplan.com
_label_do_not_consider	Selbständiges Arbeiten und Einbringen eigener Ideen
_label_do_not_consider	Konica Minolta bietet als IT Service Provider mit seinem umfassenden Portfolio Lösungen, die heute und in Zukunft die Individualisierung und Digitalisierung der Arbeitswelt unterstützen. Dabei bietet das Unternehmen umfassende Beratung, Hard- und Softwarelösungen sowie Dienstleistungen und Support für individuelle, leistungsfähige Gesamtlösungen. Als starker Partner für den Produktions- und Industriedruckmarkt umfasst das Hardware-Portfolio Drucksysteme für kleine und mittlere Volumen sowie Unternehmensberatung und Software für diesen Bereich. In einem multikulturellen Umfeld mit europaweit mehr als 10.300 Mitarbeitern agiert Konica Minolta mit unabhängigen Distributoren und Fachhändlern in 80 Ländern.
_label_do_not_consider	Bitte sende uns Deine aussagekräftigen Bewerbungsunterlagen (Lebenslauf und weitere Referenzen wie Zeugnisse) unter Angabe DeinerVerfügbarkeitund DeinerGehaltsvorstellung.
_label_potential_skill_phrase	Erstellung und Pflege der dazugehörigen Dokumentationen
_label_potential_skill_phrase	Explore and analyze markets and trends in the industry
_label_potential_skill_phrase	Einsatzgebiet ist unser aktuelles Framework zur Bereitstellung von Rich-Clients (Java-Swing) und Diensten. Dieses hat aktuell noch eine geschätzte Mindestlaufzeit von 10 Jahren, während wir unsere Bestandsprojekte iterativ auf einen neuen Technologie-Stack transformieren - auch auf Java-Basis.
_label_do_not_consider	Kontakt und Vernetzung mit den interessanten Unternehmen
_label_potential_skill_phrase	Implementierung der WLAN-Infrastruktur auf dem Zeuthener Campus und dem CTA SDMC (Science Data Management Center)
_label_do_not_consider	Die Helaba zählt mit einem Geschäfts­volumen von rund 200 Milliar­den Euro und ca. 6.300 Mit­ar­beitern zu den führenden Banken Deutsch­lands. Wir sind eine Univer­salbank mit starkem regionalem Fokus, ausgewählter inter­nationaler Präsenz und enger Integration in die Spar­kassen­organisation. Von den drei maßgeblichen Rating-Agenturen erhalten wir hervor­ragende Ratings. Unser erfolg­reiches strate­gisches Geschäfts­modell basiert auf den drei Unter­nehmens­sparten Großkunden­geschäft, Verbund-, Privatkunden- und Mittel­standsgeschäft sowie öffentliches Förder- und Infra­struktur­geschäft. Als Spar­kassen­zentral­bank in Hessen, Thüringen, Nordrhein-Westfalen und Brandenburg sind wir starker Partner und Dienst­leister für bundesweit 40 Prozent aller Spar­kassen. In Zukunft wollen wir unsere Markt­position weiter ausbauen. Dafür suchen wir Sie als kompetenten Mitarbeiter zur Verstärkung unserer Teams inOffenbach am Main.
_label_paragraph_separator	Softwaretester in der Halbleitertechnologie (m/w/x)
_label_potential_skill_phrase	Weiterentwicklung unserer Embedded Plattform auf Linux Basis
_label_potential_skill_phrase	Sehr gute Kenntnisse in C
_label_job_title	Data Scientist/Analyst (w/m/d) im Bereich prüfungsnahe Beratung/Quants - Assurance (Financial Services)
_label_potential_skill_phrase	Schnelle Auffassungs­gabe
_label_paragraph_separator	KAISER+KRAFT
